City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
ushuaia,AR,47.86,66,75,25.32,-54.8,-68.3,1643564796
puerto ayora,EC,82.36,71,100,8.81,-0.7393,-90.3518,1643564797
bluff,NZ,58.8,92,87,3.58,-46.6,168.3333,1643564798
ahuimanu,US,73.45,71,75,1.01,21.4447,-157.8378,1643564800
ahipara,NZ,60.84,91,100,7.87,-35.1667,173.1667,1643564801
hermanus,ZA,73.8,71,40,17.34,-34.4187,19.2345,1643564784
souillac,MU,80.98,78,75,14.97,-20.5167,57.5167,1643564804
hilo,US,66.79,73,40,3.44,19.7297,-155.09,1643564667
namibe,AO,73.35,73,98,8.14,-15.1961,12.1522,1643564806
carnarvon,AU,80.67,74,13,14.97,-24.8667,113.6333,1643564807
punta arenas,CL,51.91,46,75,28.77,-53.15,-70.9167,1643564782
kirakira,SB,80.46,83,100,4.27,-10.4544,161.9205,1643564810
husavik,IS,28.31,70,74,27.49,66.0449,-17.3389,1643564811
kapaa,US,71.92,74,20,1.01,22.0752,-159.319,1643564812
lompoc,US,70.12,52,0,8.99,34.6391,-120.4579,1643564814
bredasdorp,ZA,73.27,73,20,16.11,-34.5322,20.0403,1643564815
albany,US,21.15,36,42,8.99,42.6001,-73.9662,1643564412
vaini,TO,80.47,76,100,11.72,-21.2,-175.2,1643564818
saskylakh,RU,-19.21,100,100,2.86,71.9167,114.0833,1643564820
faya,SA,55.92,80,10,5.5,18.3851,42.4509,1643564821
yumen,CN,16.0,44,100,7.76,40.2833,97.2,1643564823
hervey bay,AU,72.03,86,82,8.23,-25.2986,152.8535,1643564825
kudahuvadhoo,MV,82.11,73,79,12.35,2.6708,72.8944,1643564826
kodiak,US,24.31,74,75,10.36,57.79,-152.4072,1643564827
tutoia,BR,89.58,64,99,11.16,-2.7619,-42.2744,1643564631
chicama,PE,68.54,58,99,11.1,-7.8447,-79.1469,1643564830
khatanga,RU,-8.3,98,98,9.75,71.9667,102.5,1643564831
aklavik,CA,1.4,78,75,4.61,68.2191,-135.0107,1643564786
gorin,RU,-13.86,100,97,3.06,51.1983,136.6669,1643564834
guerrero negro,MX,64.42,56,69,11.32,27.9769,-114.0611,1643564628
rikitea,PF,76.17,61,59,4.29,-23.1203,-134.9692,1643564836
cape town,ZA,73.11,70,0,1.99,-33.9258,18.4232,1643564837
san cristobal,VE,68.18,40,88,4.97,7.7669,-72.225,1643564626
lavrentiya,RU,-4.76,88,4,5.12,65.5833,-171.0,1643564766
carutapera,BR,75.81,92,94,6.69,-1.195,-46.02,1643564842
bacuyangan,PH,77.63,81,80,2.33,9.637,122.4721,1643564843
east london,ZA,76.14,83,0,14.97,-33.0153,27.9116,1643564845
anadyr,RU,-17.9,75,75,1.99,64.75,177.4833,1643564675
novosergiyevka,RU,29.62,96,100,14.88,52.0934,53.6528,1643564847
constitucion,CL,70.86,58,2,18.28,-35.3333,-72.4167,1643564849
busselton,AU,64.04,78,3,18.39,-33.65,115.3333,1643564850
sioux lookout,CA,-0.02,78,100,2.3,50.1001,-91.917,1643564851
saldanha,ZA,86.05,87,62,18.03,-33.0117,17.9442,1643564854
salcedo,PH,75.9,89,19,7.52,12.8105,121.4674,1643564855
new norfolk,AU,57.65,76,3,1.99,-42.7826,147.0587,1643564857
boyolangu,ID,75.49,92,100,1.41,-8.1181,111.8935,1643564858
oranjemund,NA,68.02,80,37,3.44,-28.55,16.4333,1643564860
kavieng,PG,80.94,75,88,1.79,-2.5744,150.7967,1643564862
hithadhoo,MV,81.97,69,100,8.43,-0.6,73.0833,1643564864
sechura,PE,80.46,57,90,8.12,-5.5569,-80.8222,1643564865
vila velha,BR,87.75,62,40,13.8,-20.3297,-40.2925,1643564866
jamestown,US,19.71,43,80,5.99,42.097,-79.2353,1643564672
arraial do cabo,BR,87.76,62,40,4.61,-22.9661,-42.0278,1643564587
comodoro rivadavia,AR,62.46,20,40,17.27,-45.8667,-67.5,1643564700
zabid,YE,77.92,61,7,10.63,14.1951,43.3152,1643564871
chuy,UY,79.32,54,98,12.62,-33.6971,-53.4616,1643564872
